선호관광,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
남원,[남원 -전북] 시골집 - 수제돈가스국수 전문점 : 네이버 블로그,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,남원 맛집 : 네이버 통합검색,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,남원 맛집 근사한 한끼 : 네이버 블로그,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,제주 남원 맛집 며칠 내내 폭식쓰~ : 네이버 블로그,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,전북남원 맛집 : 네이버 플레이스 검색 결과,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,제주 남원 맛집 갈치구이랑 전복! : 네이버 블로그,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,전북남원 맛집 : 네이버 플레이스 검색 결과,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,남원맛집 한상가득 : 네이버 포스트,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,남원 맛집 지리산 감비나무 아껴두고싶은 나의 최애 힐링장소 : 네이버 블로그,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,전북남원맛집 : 네이버 통합검색,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,전북남원 돈가스 : 네이버 통합검색,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,[전북남원] 광한루 근처 돈가스 전문점 그랑깨 돈가스 다녀왔어요 : 네이버 블로그,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,남원맛집 남원의 인심 그대로! 가나안한정식 : 네이버 포스트,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,전북남원맛집 : 네이버 VIEW,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,전북남원 맛집 : 네이버 플레이스 검색 결과,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,돈가스 / 전북 남원 평화식당 : 네이버 블로그,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,남원 맛집 : 네이버 플레이스 검색 결과,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,남원 맛집 : 네이버 VIEW,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
남원,전북남원 맛집 : 네이버 플레이스 검색 결과,F,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 있음 ,단독주택,전북,장수군,천천면,
주문진,주문진 : 네이버 통합검색,M,3,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,동대문구,답십리2동,"경차 (모닝, 스파크 등)"
미륵사지,일제 잔재 벗고 위용 찾은 미륵사지석탑,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,수원시 권선구,권선동,
미륵사,일제 잔재 벗고 위용 찾은 미륵사지석탑,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,수원시 권선구,권선동,
해운대,부산경남대표방송 KNN :: 부산 해운대 야산서 백골화 시신 발견…경찰 수사,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,고양시 덕양구,도내동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
장경사,문성현 위원장 경사노위 의사결정 구조 손질...법개정도 검토,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,도봉구,창동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
남원,지리산 바래봉 철쭉제 (남원) :: 2017 개화 현황 : 네이버 블로그,F,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,전북,전주시 완산구,삼천동1가,"경차 (모닝, 스파크 등)"
도솔암,해남 도솔암 : 네이버 블로그,F,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,전북,전주시 완산구,삼천동1가,"경차 (모닝, 스파크 등)"
도솔암,해남 도솔암 : 네이버 통합검색,F,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,전북,전주시 완산구,삼천동1가,"경차 (모닝, 스파크 등)"
도솔암,해남 달마산 등산(코스:도솔봉-도솔암-떡봉-달마봉-미황사) : 네이버 블로그,F,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,전북,전주시 완산구,삼천동1가,"경차 (모닝, 스파크 등)"
도솔암,해남 도솔암 : 네이버 통합검색,F,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,전북,전주시 완산구,삼천동1가,"경차 (모닝, 스파크 등)"
칠성사,코카콜라 칠성사이다를 함께 파는 식당이 맛집인 이유,F,4,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,강북구,미아동,
소요산,수도권 1호선 연장(소요산-연천) 구간 1년 연기 : 네이버 카페,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,아파트/ 주상복합,경기,고양시 덕양구,화정동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
영수사,정준영 수사봐주기 의혹 (박근혜정부)경찰청장에서 총경으로 바뀐이유 개띠용 - 맞벌이 부부의삶 - 텐인텐[10년 10억 만들기],F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,충북,청주시 상당구,주성동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
내장사,신형 쏘나타 추가 디자인과 내장 사양 공개 | Daum 자동차,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,고양시 덕양구,화정2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
주문진,주문 진행중,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,고양시 덕양구,화정2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
주문진,주문 진행중,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,의정부시,호원1동,
망월사,망월사역 미용실 : 네이버 통합검색,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,의정부시,호원1동,
망월사,망월사역 미용실 어린이컷 : 네이버 통합검색,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,의정부시,호원1동,
망월사,망월사역 : 네이버 통합검색,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,의정부시,호원1동,
주문진,주문 진행중,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,의정부시,호원1동,
망월사,망월사역 : 네이버 통합검색,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,의정부시,호원1동,
석굴암,[아무튼 주말] 석굴암을 일제가 고의로 훼손했다고? 역사 왜곡입니다,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,강원,춘천시,퇴계동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
알펜시아,하루 이자 2천500만원..레고랜드 제2의 알펜시아 전락 우려,M,4,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,남구,용호4동,"경차 (모닝, 스파크 등)"
월정사,월정사 입장시간 : 네이버 통합검색,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,성남시 수정구,복정동,"소형SUV/CUV (티볼리, QM3 등)"
월정사,평창 가볼만한 곳 오대산 월정사(입장료&입장시간 전나무숲길) : 네이버 블로그,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,성남시 수정구,복정동,"소형SUV/CUV (티볼리, QM3 등)"
월정사,월정사 : 네이버,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,성남시 수정구,복정동,"소형SUV/CUV (티볼리, QM3 등)"
월정사,월정사 : 네이버 통합검색,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,성남시 수정구,복정동,"소형SUV/CUV (티볼리, QM3 등)"
주문진,[주문진] 주문진 회 사는 방법. & 회 뜨는 방법. : 네이버 블로그,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,성남시 수정구,복정동,"소형SUV/CUV (티볼리, QM3 등)"
